id;reference_number;or_date;qty_ordered;qty_recieved;manufacturing_date;expiry_date;qty_approved;qty_rejected;purchase_quotation_id
1;Steel;2023-10-10T23:10:21;43859;50924;2023-10-10T06:11:22;2023-10-11T00:01:24;55191;40807;16534
2;Locks optimizing;2023-10-10T10:15:04;8422;25894;2023-10-10T21:09:11;2023-10-10T06:48:18;14961;52123;21678
3;Stream payment Rial;2023-10-10T19:02:12;83477;58307;2023-10-10T09:12:59;2023-10-11T04:39:23;29320;76258;20838
4;payment HTTP;2023-10-10T06:43:22;8269;11452;2023-10-10T22:22:34;2023-10-10T10:23:51;34476;88527;76898
5;Direct;2023-10-10T15:13:27;93795;23803;2023-10-10T22:59:11;2023-10-10T17:49:21;10217;98197;65257
6;bandwidth;2023-10-11T00:30:17;11681;63519;2023-10-10T12:08:51;2023-10-10T12:23:32;53840;67096;22858
7;Delaware;2023-10-11T02:34:27;45297;31661;2023-10-10T18:38:13;2023-10-10T06:52:55;82317;31728;637
8;Tuna Computers;2023-10-10T14:59:18;58406;54136;2023-10-10T18:37:58;2023-10-10T13:06:55;20137;54141;38978
9;Graphic Lithuania Regional;2023-10-10T23:34:59;70760;1742;2023-10-10T14:51:40;2023-10-11T01:57:40;94462;66013;54556
10;optimize;2023-10-10T16:44:25;1739;71605;2023-10-10T13:59:58;2023-10-10T16:45:58;80600;82899;39517
