id;project_name;start_date;end_date;order_quantity;estimated_budget;final_total
1;Forward driver Checking;2023-10-10T22:15:49;2023-10-11T01:52:22;6642;93635;62887
2;archive;2023-10-11T03:32:20;2023-10-10T11:29:55;35749;68589;92100
3;RAM;2023-10-10T22:09:09;2023-10-10T10:20:26;19511;37365;3984
4;Berkshire;2023-10-10T10:16:45;2023-10-11T05:35:51;2229;5897;92961
5;New indigo next;2023-10-10T14:06:00;2023-10-11T00:02:21;24107;52053;23926
6;Agent;2023-10-10T15:49:14;2023-10-10T07:07:28;21808;98479;86866
7;Future;2023-10-11T00:25:46;2023-10-10T20:46:21;28737;43695;47567
8;index models grey;2023-10-10T15:27:27;2023-10-10T18:21:13;88872;45010;76612
9;Cross-platform International;2023-10-10T15:55:57;2023-10-10T22:41:50;15156;50792;18669
10;compress Account;2023-10-10T16:28:03;2023-10-11T02:16:05;18523;71725;94030
