id;reference_number;total_po_amount;total_gst_amount;po_date;expected_delivery_date;order_status;client_id
1;Proactive granular Optional;84575;28823;2023-10-10T16:29:33;2023-10-10T11:57:37;REQUESTED;79048
2;withdrawal;37922;69502;2023-10-11T04:53:45;2023-10-10T07:51:07;REQUESTED;32597
3;digital Computers;669;46359;2023-10-11T05:38:22;2023-10-11T01:17:43;CANCELED;3291
4;bus Lats revolutionize;32785;53599;2023-10-10T20:22:35;2023-10-10T11:36:08;COMPLETED;50531
5;connect digital;90315;87907;2023-10-11T01:45:19;2023-10-10T18:56:58;CANCELED;28909
6;JBOD mobile;19195;16916;2023-10-10T08:34:39;2023-10-10T16:29:18;RECEIVED;18065
7;clear-thinking;1215;95117;2023-10-11T00:13:35;2023-10-10T19:55:08;RECEIVED;22714
8;Solutions invoice;81121;7412;2023-10-10T08:33:44;2023-10-11T02:33:29;REQUESTED;78841
9;wireless Berkshire Island;5070;52643;2023-10-11T03:12:58;2023-10-10T22:36:34;RECEIVED;90670
10;optimize Loop Georgia;43736;74910;2023-10-10T18:49:06;2023-10-10T23:51:26;COMPLETED;29778
