id;qty_required;request_date;expected_date;status;raw_material_name
1;31032;2023-10-10T08:46:01;2023-10-10T22:01:54;REQUESTED;orchid Account
2;53051;2023-10-10T13:08:24;2023-10-10T13:05:38;RECEIVED;paradigms Bulgarian Team-oriented
3;46340;2023-10-10T19:47:44;2023-10-10T06:33:40;REQUESTED;Sausages leverage
4;28804;2023-10-10T09:27:41;2023-10-10T13:53:37;CANCELED;parsing
5;15555;2023-10-10T05:56:08;2023-10-11T01:29:17;COMPLETED;hybrid value-added AI
6;59971;2023-10-10T05:55:22;2023-10-10T11:09:08;REQUESTED;Berkshire Vietnam Metal
7;55955;2023-10-11T04:02:23;2023-10-11T04:50:47;COMPLETED;Incredible
8;3473;2023-10-11T02:05:45;2023-10-11T05:30:54;RECEIVED;copy Avenue Cayman
9;66933;2023-10-11T01:45:34;2023-10-10T06:10:50;CANCELED;Secured Shoes Hollow
10;51620;2023-10-10T21:20:47;2023-10-10T19:34:28;CANCELED;Handcrafted Keyboard
