id;name;barcode;quantity;unit_price;unit_measure;gst_percentage;reorder_point;warehouse_id
1;COM;bluetooth e-services;45661;86942;UNIT;82343;13801;57378
2;Avon Arkansas;Bolivar multi-state Operations;78305;55398;KG;52395;45733;40932
3;purple enable Unbranded;Ball bypass Handcrafted;38478;32662;UNIT;12776;97514;27207
4;networks District Sausages;Orchestrator;70681;97293;KG;74369;88194;81299
5;Dynamic Rustic;Causeway Assurance;68044;13667;KG;19858;21103;28978
6;Towels;Account Bedfordshire neural;30470;61375;KG;68759;67359;58517
7;Bedfordshire Account Central;interface synthesizing architecture;84033;86249;METRE;29631;58995;35441
8;turn-key;protocol Gloves Corner;96277;87163;METRE;83522;13932;45827
9;model;transmit deposit;60702;6286;METRE;21607;72919;49635
10;Frozen paradigm eyeballs;indexing Account Metal;35110;46863;METRE;34622;58173;34194
