id;project_id;product_id;production_line;raw_material_id;quantity_consumed;scrap_generated;total_material_cost
1;89293;67677;11404;68461;63644;24853;13720
2;97343;30018;60418;37316;73884;75526;53037
3;76536;88864;34644;78281;62034;28718;65585
4;92097;45532;89809;28444;54751;38656;52968
5;90839;79991;18421;32367;12553;53224;41816
6;58786;98900;5330;90023;67334;12249;72014
7;59612;54942;41921;24809;74738;1353;55761
8;52431;90456;28663;68428;60312;11812;49407
9;80102;19385;59668;64108;86426;50102;44331
10;30389;61614;25853;5984;70168;43220;20689
