id;order_date;quantity_sold;unit_price;gst_percentage;total_revenue;status;client_id
1;2023-10-11T05:34:12;12876;38854;71824;1370;ORDERED;38770
2;2023-10-10T13:43:12;62270;14054;99145;52620;DELIVERED;89554
3;2023-10-10T13:21:43;18897;49854;73670;23175;DELIVERED;53366
4;2023-10-10T21:00:06;43614;18116;81843;69881;DELIVERED;51332
5;2023-10-10T09:56:03;71119;67375;9114;68374;DELIVERED;62175
6;2023-10-10T05:44:57;17346;70713;43404;13659;SHIPPED;43465
7;2023-10-10T12:03:43;73430;60928;52564;30937;DELIVERED;86108
8;2023-10-10T17:09:06;53220;15268;69197;97452;SHIPPED;61936
9;2023-10-10T19:56:17;25477;6371;13047;45719;DELIVERED;97960
10;2023-10-10T22:49:38;91329;97635;91685;39429;DELIVERED;60124
