id;qty_required;req_date;is_prod;status;raw_material_id;product_id;production_line_id;project_id
1;72753;2023-10-10T20:43:47;true;REQUESTED;72278;26120;99267;82058
2;62799;2023-10-10T17:20:43;true;REQUESTED;41746;51138;83290;3421
3;42431;2023-10-10T12:28:57;true;COMPLETED;28595;41717;29792;75968
4;19180;2023-10-10T19:40:48;false;CANCELED;72689;93128;59353;15488
5;82332;2023-10-10T10:32:30;true;CANCELED;55287;42408;70484;20100
6;55270;2023-10-10T11:42:43;false;RECEIVED;56972;27632;68198;56209
7;77259;2023-10-11T05:23:25;false;REQUESTED;81695;40010;78760;16002
8;73542;2023-10-10T23:59:12;true;COMPLETED;66194;30671;42098;7042
9;25330;2023-10-11T05:07:27;true;APPROVED;66218;8050;83244;76056
10;92472;2023-10-11T01:32:06;false;APPROVED;21419;32643;50638;34525
