id;wh_name;address;pincode;city;manager_name;manager_email
1;Buckinghamshire back-end Som;moratorium Vatu;90093;Klockofurt;synergistic TCP Tunisia;incentivize
2;streamline bandwidth rich;Fish invoice;68311;Thompsonville;Fresh;orchestrate Cambridgeshire
3;interface invoice Handmade;firewall Vista;74474;Sheridanview;Director incubate;loyalty Versatile
4;emulation;Marketing;66787;Noemieborough;bandwidth Buckinghamshire Gloves;Leone Cotton
5;withdrawal vortals system;web Ergonomic Soft;26930;Smyrna;Open-architected virtual paradigms;Rhode
6;Administrator Chips reboot;extensible Florida Coordinator;9267;South Ayanaton;matrix transmitting;Run
7;Response toolset;definition Fish Buckinghamshire;62207;Chico;Jewelery;quantifying
8;Rubber;calculating Steel Bacon;47053;Andersonshire;Keyboard Lek withdrawal;HDD
9;Solomon;Pound;54201;Kearny;enhance Account;infrastructures violet
10;sensor;Human Rubber;75379;Katlynnport;Architect maroon;Rubber Orchestrator
